,episode,character,line_count,seriesEpisode,Series,Season,totalSeasons,Episodes,Response,Title,Released,Episode,imdbRating,imdbID,line_count_episode_total,episodeFraction,ratingFraction
0,0,JENNIFER,41,1,Star Trek: Deep Space Nine,1,7,"{'Title': 'Emissary', 'Released': '1993-01-03', 'Episode': '1', 'imdbRating': '7.6', 'imdbID': 'tt0108214'}",True,Emissary,1993-01-03,1,7.6,tt0108214,664,0.061746987951807226,0.4692771084337349
1,0,OPS,4,1,Star Trek: Deep Space Nine,1,7,"{'Title': 'Emissary', 'Released': '1993-01-03', 'Episode': '1', 'imdbRating': '7.6', 'imdbID': 'tt0108214'}",True,Emissary,1993-01-03,1,7.6,tt0108214,664,0.006024096385542169,0.04578313253012048
2,0,JASAD,13,1,Star Trek: Deep Space Nine,1,7,"{'Title': 'Emissary', 'Released': '1993-01-03', 'Episode': '1', 'imdbRating': '7.6', 'imdbID': 'tt0108214'}",True,Emissary,1993-01-03,1,7.6,tt0108214,664,0.01957831325301205,0.14879518072289155
3,0,PICARD,28,1,Star Trek: Deep Space Nine,1,7,"{'Title': 'Emissary', 'Released': '1993-01-03', 'Episode': '1', 'imdbRating': '7.6', 'imdbID': 'tt0108214'}",True,Emissary,1993-01-03,1,7.6,tt0108214,664,0.04216867469879518,0.32048192771084333
4,0,MAGGIE,1,1,Star Trek: Deep Space Nine,1,7,"{'Title': 'Emissary', 'Released': '1993-01-03', 'Episode': '1', 'imdbRating': '7.6', 'imdbID': 'tt0108214'}",True,Emissary,1993-01-03,1,7.6,tt0108214,664,0.0015060240963855422,0.01144578313253012
5,0,DUKAT,9,1,Star Trek: Deep Space Nine,1,7,"{'Title': 'Emissary', 'Released': '1993-01-03', 'Episode': '1', 'imdbRating': '7.6', 'imdbID': 'tt0108214'}",True,Emissary,1993-01-03,1,7.6,tt0108214,664,0.01355421686746988,0.10301204819277109
6,0,BUREAUCRAT,2,1,Star Trek: Deep Space Nine,1,7,"{'Title': 'Emissary', 'Released': '1993-01-03', 'Episode': '1', 'imdbRating': '7.6', 'imdbID': 'tt0108214'}",True,Emissary,1993-01-03,1,7.6,tt0108214,664,0.0030120481927710845,0.02289156626506024
7,0,CONN,1,1,Star Trek: Deep Space Nine,1,7,"{'Title': 'Emissary', 'Released': '1993-01-03', 'Episode': '1', 'imdbRating': '7.6', 'imdbID': 'tt0108214'}",True,Emissary,1993-01-03,1,7.6,tt0108214,664,0.0015060240963855422,0.01144578313253012
8,0,KIRA,85,1,Star Trek: Deep Space Nine,1,7,"{'Title': 'Emissary', 'Released': '1993-01-03', 'Episode': '1', 'imdbRating': '7.6', 'imdbID': 'tt0108214'}",True,Emissary,1993-01-03,1,7.6,tt0108214,664,0.1280120481927711,0.9728915662650602
9,0,PIT,1,1,Star Trek: Deep Space Nine,1,7,"{'Title': 'Emissary', 'Released': '1993-01-03', 'Episode': '1', 'imdbRating': '7.6', 'imdbID': 'tt0108214'}",True,Emissary,1993-01-03,1,7.6,tt0108214,664,0.0015060240963855422,0.01144578313253012
10,0,SISKO,192,1,Star Trek: Deep Space Nine,1,7,"{'Title': 'Emissary', 'Released': '1993-01-03', 'Episode': '1', 'imdbRating': '7.6', 'imdbID': 'tt0108214'}",True,Emissary,1993-01-03,1,7.6,tt0108214,664,0.2891566265060241,2.197590361445783
11,0,ALIEN,2,1,Star Trek: Deep Space Nine,1,7,"{'Title': 'Emissary', 'Released': '1993-01-03', 'Episode': '1', 'imdbRating': '7.6', 'imdbID': 'tt0108214'}",True,Emissary,1993-01-03,1,7.6,tt0108214,664,0.0030120481927710845,0.02289156626506024
12,0,CREWWOMAN,2,1,Star Trek: Deep Space Nine,1,7,"{'Title': 'Emissary', 'Released': '1993-01-03', 'Episode': '1', 'imdbRating': '7.6', 'imdbID': 'tt0108214'}",True,Emissary,1993-01-03,1,7.6,tt0108214,664,0.0030120481927710845,0.02289156626506024
13,0,GIRL,3,1,Star Trek: Deep Space Nine,1,7,"{'Title': 'Emissary', 'Released': '1993-01-03', 'Episode': '1', 'imdbRating': '7.6', 'imdbID': 'tt0108214'}",True,Emissary,1993-01-03,1,7.6,tt0108214,664,0.004518072289156626,0.03433734939759036
14,0,CREWMAN,3,1,Star Trek: Deep Space Nine,1,7,"{'Title': 'Emissary', 'Released': '1993-01-03', 'Episode': '1', 'imdbRating': '7.6', 'imdbID': 'tt0108214'}",True,Emissary,1993-01-03,1,7.6,tt0108214,664,0.004518072289156626,0.03433734939759036
15,0,ODO,21,1,Star Trek: Deep Space Nine,1,7,"{'Title': 'Emissary', 'Released': '1993-01-03', 'Episode': '1', 'imdbRating': '7.6', 'imdbID': 'tt0108214'}",True,Emissary,1993-01-03,1,7.6,tt0108214,664,0.03162650602409638,0.2403614457831325
16,0,O'BRIEN,69,1,Star Trek: Deep Space Nine,1,7,"{'Title': 'Emissary', 'Released': '1993-01-03', 'Episode': '1', 'imdbRating': '7.6', 'imdbID': 'tt0108214'}",True,Emissary,1993-01-03,1,7.6,tt0108214,664,0.10391566265060241,0.7897590361445783
17,0,ODN,1,1,Star Trek: Deep Space Nine,1,7,"{'Title': 'Emissary', 'Released': '1993-01-03', 'Episode': '1', 'imdbRating': '7.6', 'imdbID': 'tt0108214'}",True,Emissary,1993-01-03,1,7.6,tt0108214,664,0.0015060240963855422,0.01144578313253012
18,0,NOG,1,1,Star Trek: Deep Space Nine,1,7,"{'Title': 'Emissary', 'Released': '1993-01-03', 'Episode': '1', 'imdbRating': '7.6', 'imdbID': 'tt0108214'}",True,Emissary,1993-01-03,1,7.6,tt0108214,664,0.0015060240963855422,0.01144578313253012
19,0,OPAKA,17,1,Star Trek: Deep Space Nine,1,7,"{'Title': 'Emissary', 'Released': '1993-01-03', 'Episode': '1', 'imdbRating': '7.6', 'imdbID': 'tt0108214'}",True,Emissary,1993-01-03,1,7.6,tt0108214,664,0.025602409638554216,0.19457831325301203
20,0,CAPTAIN,6,1,Star Trek: Deep Space Nine,1,7,"{'Title': 'Emissary', 'Released': '1993-01-03', 'Episode': '1', 'imdbRating': '7.6', 'imdbID': 'tt0108214'}",True,Emissary,1993-01-03,1,7.6,tt0108214,664,0.009036144578313253,0.06867469879518072
21,0,ENSIGN,1,1,Star Trek: Deep Space Nine,1,7,"{'Title': 'Emissary', 'Released': '1993-01-03', 'Episode': '1', 'imdbRating': '7.6', 'imdbID': 'tt0108214'}",True,Emissary,1993-01-03,1,7.6,tt0108214,664,0.0015060240963855422,0.01144578313253012
22,0,LOCUTUS,3,1,Star Trek: Deep Space Nine,1,7,"{'Title': 'Emissary', 'Released': '1993-01-03', 'Episode': '1', 'imdbRating': '7.6', 'imdbID': 'tt0108214'}",True,Emissary,1993-01-03,1,7.6,tt0108214,664,0.004518072289156626,0.03433734939759036
23,0,QUARK,16,1,Star Trek: Deep Space Nine,1,7,"{'Title': 'Emissary', 'Released': '1993-01-03', 'Episode': '1', 'imdbRating': '7.6', 'imdbID': 'tt0108214'}",True,Emissary,1993-01-03,1,7.6,tt0108214,664,0.024096385542168676,0.18313253012048192
24,0,BASHIR,17,1,Star Trek: Deep Space Nine,1,7,"{'Title': 'Emissary', 'Released': '1993-01-03', 'Episode': '1', 'imdbRating': '7.6', 'imdbID': 'tt0108214'}",True,Emissary,1993-01-03,1,7.6,tt0108214,664,0.025602409638554216,0.19457831325301203
25,0,DAX,53,1,Star Trek: Deep Space Nine,1,7,"{'Title': 'Emissary', 'Released': '1993-01-03', 'Episode': '1', 'imdbRating': '7.6', 'imdbID': 'tt0108214'}",True,Emissary,1993-01-03,1,7.6,tt0108214,664,0.07981927710843373,0.6066265060240963
26,0,COMPUTER,19,1,Star Trek: Deep Space Nine,1,7,"{'Title': 'Emissary', 'Released': '1993-01-03', 'Episode': '1', 'imdbRating': '7.6', 'imdbID': 'tt0108214'}",True,Emissary,1993-01-03,1,7.6,tt0108214,664,0.0286144578313253,0.21746987951807226
27,0,BOSS,1,1,Star Trek: Deep Space Nine,1,7,"{'Title': 'Emissary', 'Released': '1993-01-03', 'Episode': '1', 'imdbRating': '7.6', 'imdbID': 'tt0108214'}",True,Emissary,1993-01-03,1,7.6,tt0108214,664,0.0015060240963855422,0.01144578313253012
28,0,OFFICER,5,1,Star Trek: Deep Space Nine,1,7,"{'Title': 'Emissary', 'Released': '1993-01-03', 'Episode': '1', 'imdbRating': '7.6', 'imdbID': 'tt0108214'}",True,Emissary,1993-01-03,1,7.6,tt0108214,664,0.007530120481927711,0.0572289156626506
29,0,JAKE,20,1,Star Trek: Deep Space Nine,1,7,"{'Title': 'Emissary', 'Released': '1993-01-03', 'Episode': '1', 'imdbRating': '7.6', 'imdbID': 'tt0108214'}",True,Emissary,1993-01-03,1,7.6,tt0108214,664,0.030120481927710843,0.2289156626506024
30,0,TACTICAL,14,1,Star Trek: Deep Space Nine,1,7,"{'Title': 'Emissary', 'Released': '1993-01-03', 'Episode': '1', 'imdbRating': '7.6', 'imdbID': 'tt0108214'}",True,Emissary,1993-01-03,1,7.6,tt0108214,664,0.02108433734939759,0.16024096385542166
31,0,CARDASSIAN,6,1,Star Trek: Deep Space Nine,1,7,"{'Title': 'Emissary', 'Released': '1993-01-03', 'Episode': '1', 'imdbRating': '7.6', 'imdbID': 'tt0108214'}",True,Emissary,1993-01-03,1,7.6,tt0108214,664,0.009036144578313253,0.06867469879518072
32,0,LIEUTENANT,1,1,Star Trek: Deep Space Nine,1,7,"{'Title': 'Emissary', 'Released': '1993-01-03', 'Episode': '1', 'imdbRating': '7.6', 'imdbID': 'tt0108214'}",True,Emissary,1993-01-03,1,7.6,tt0108214,664,0.0015060240963855422,0.01144578313253012
33,0,MONK,3,1,Star Trek: Deep Space Nine,1,7,"{'Title': 'Emissary', 'Released': '1993-01-03', 'Episode': '1', 'imdbRating': '7.6', 'imdbID': 'tt0108214'}",True,Emissary,1993-01-03,1,7.6,tt0108214,664,0.004518072289156626,0.03433734939759036
34,0,BATSMAN,3,1,Star Trek: Deep Space Nine,1,7,"{'Title': 'Emissary', 'Released': '1993-01-03', 'Episode': '1', 'imdbRating': '7.6', 'imdbID': 'tt0108214'}",True,Emissary,1993-01-03,1,7.6,tt0108214,664,0.004518072289156626,0.03433734939759036
35,1,KIRA,85,2,Star Trek: Deep Space Nine,1,7,"{'Title': 'Past Prologue', 'Released': '1993-01-10', 'Episode': '2', 'imdbRating': '7.1', 'imdbID': 'tt0708576'}",True,Past Prologue,1993-01-10,2,7.1,tt0708576,419,0.20286396181384247,1.4403341288782816
36,1,SISKO,89,2,Star Trek: Deep Space Nine,1,7,"{'Title': 'Past Prologue', 'Released': '1993-01-10', 'Episode': '2', 'imdbRating': '7.1', 'imdbID': 'tt0708576'}",True,Past Prologue,1993-01-10,2,7.1,tt0708576,419,0.21241050119331742,1.5081145584725535
37,1,ODO,33,2,Star Trek: Deep Space Nine,1,7,"{'Title': 'Past Prologue', 'Released': '1993-01-10', 'Episode': '2', 'imdbRating': '7.1', 'imdbID': 'tt0708576'}",True,Past Prologue,1993-01-10,2,7.1,tt0708576,419,0.07875894988066826,0.5591885441527445
38,1,O'BRIEN,25,2,Star Trek: Deep Space Nine,1,7,"{'Title': 'Past Prologue', 'Released': '1993-01-10', 'Episode': '2', 'imdbRating': '7.1', 'imdbID': 'tt0708576'}",True,Past Prologue,1993-01-10,2,7.1,tt0708576,419,0.059665871121718374,0.42362768496420045
39,1,BASHIR,37,2,Star Trek: Deep Space Nine,1,7,"{'Title': 'Past Prologue', 'Released': '1993-01-10', 'Episode': '2', 'imdbRating': '7.1', 'imdbID': 'tt0708576'}",True,Past Prologue,1993-01-10,2,7.1,tt0708576,419,0.0883054892601432,0.6269689737470167
40,1,DAX,8,2,Star Trek: Deep Space Nine,1,7,"{'Title': 'Past Prologue', 'Released': '1993-01-10', 'Episode': '2', 'imdbRating': '7.1', 'imdbID': 'tt0708576'}",True,Past Prologue,1993-01-10,2,7.1,tt0708576,419,0.01909307875894988,0.13556085918854416
41,1,GARAK,28,2,Star Trek: Deep Space Nine,1,7,"{'Title': 'Past Prologue', 'Released': '1993-01-10', 'Episode': '2', 'imdbRating': '7.1', 'imdbID': 'tt0708576'}",True,Past Prologue,1993-01-10,2,7.1,tt0708576,419,0.06682577565632458,0.4744630071599045
42,1,TAHNA,64,2,Star Trek: Deep Space Nine,1,7,"{'Title': 'Past Prologue', 'Released': '1993-01-10', 'Episode': '2', 'imdbRating': '7.1', 'imdbID': 'tt0708576'}",True,Past Prologue,1993-01-10,2,7.1,tt0708576,419,0.15274463007159905,1.0844868735083533
43,1,B'ETOR,12,2,Star Trek: Deep Space Nine,1,7,"{'Title': 'Past Prologue', 'Released': '1993-01-10', 'Episode': '2', 'imdbRating': '7.1', 'imdbID': 'tt0708576'}",True,Past Prologue,1993-01-10,2,7.1,tt0708576,419,0.028639618138424822,0.20334128878281624
44,1,ROLLMAN,2,2,Star Trek: Deep Space Nine,1,7,"{'Title': 'Past Prologue', 'Released': '1993-01-10', 'Episode': '2', 'imdbRating': '7.1', 'imdbID': 'tt0708576'}",True,Past Prologue,1993-01-10,2,7.1,tt0708576,419,0.00477326968973747,0.03389021479713604
45,1,DEPUTY,1,2,Star Trek: Deep Space Nine,1,7,"{'Title': 'Past Prologue', 'Released': '1993-01-10', 'Episode': '2', 'imdbRating': '7.1', 'imdbID': 'tt0708576'}",True,Past Prologue,1993-01-10,2,7.1,tt0708576,419,0.002386634844868735,0.01694510739856802
46,1,DANAR,12,2,Star Trek: Deep Space Nine,1,7,"{'Title': 'Past Prologue', 'Released': '1993-01-10', 'Episode': '2', 'imdbRating': '7.1', 'imdbID': 'tt0708576'}",True,Past Prologue,1993-01-10,2,7.1,tt0708576,419,0.028639618138424822,0.20334128878281624
47,1,LURSA,11,2,Star Trek: Deep Space Nine,1,7,"{'Title': 'Past Prologue', 'Released': '1993-01-10', 'Episode': '2', 'imdbRating': '7.1', 'imdbID': 'tt0708576'}",True,Past Prologue,1993-01-10,2,7.1,tt0708576,419,0.026252983293556086,0.1863961813842482
48,1,GUL,12,2,Star Trek: Deep Space Nine,1,7,"{'Title': 'Past Prologue', 'Released': '1993-01-10', 'Episode': '2', 'imdbRating': '7.1', 'imdbID': 'tt0708576'}",True,Past Prologue,1993-01-10,2,7.1,tt0708576,419,0.028639618138424822,0.20334128878281624
49,2,KIRA,23,3,Star Trek: Deep Space Nine,1,7,"{'Title': 'A Man Alone', 'Released': '1993-01-17', 'Episode': '3', 'imdbRating': '6.9', 'imdbID': 'tt0708494'}",True,A Man Alone,1993-01-17,3,6.9,tt0708494,389,0.05912596401028278,0.4079691516709512
50,2,SISKO,58,3,Star Trek: Deep Space Nine,1,7,"{'Title': 'A Man Alone', 'Released': '1993-01-17', 'Episode': '3', 'imdbRating': '6.9', 'imdbID': 'tt0708494'}",True,A Man Alone,1993-01-17,3,6.9,tt0708494,389,0.14910025706940874,1.0287917737789203
